tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id,contact_5_id,contact_6_id
rps_lng-CVA210145,rps_lng-CVA210231,11/08/2017,11/08/2017,10/08/2018,,,,,,rps_lng-CVA21001390,,,,,,,,,,,,,,,,,,,2023-11-20T00:00:00+00:00,,,,Monthly,310.2247,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210047,rps_lng-CVA210272,1/03/2017,1/03/2017,15/11/2021,,,,,,rps_lng-CVA21001365,,,,,,,,,,,,,,,,,,,,,,,Monthly,450.1479,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001366,,,,
rps_lng-HDO221193,rps_lng-CVA210272,26/08/2022,26/08/2022,25/02/2023,,,,,,rps_lng-HDO22002685,,,,,,,,,,,,,,,,,,,2023-11-08T14:00:00+00:00,,,,Monthly,449.9178,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002684,,,,
rps_lng-CVA210051,rps_lng-CVA210274,1/08/2020,1/08/2020,5/03/2021,,,,,,rps_lng-CVA21000733,,,,,,,,,,,,,,,,,,,,,,,Monthly,405.0411,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000734,,,,
rps_lng-CVA210364,rps_lng-CVA210325,1/11/2021,1/11/2021,30/04/2022,,,,,,rps_lng-CVA21000776,,,,,,,,,,,,,,,,,,,,,,,Monthly,599.9671,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO220686,rps_lng-CVA210325,26/05/2022,26/05/2022,8/03/2023,,,,,,rps_lng-HDO22001369,,,,,,,,,,,,,,,,,,,,,,,Monthly,799.9562,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210270,rps_lng-CVA210327,3/05/2020,3/05/2020,5/07/2021,,,,,,rps_lng-CVA21001321,,,,,,,,,,,,,,,,,,,,,,,Monthly,420,,,,,,,,,,,,,,,,,,,rps_lng-CVA21001791,,,,
rps_lng-CVA210063,rps_lng-CVA210337,1/05/2020,1/05/2020,30/04/2021,,,,,,rps_lng-CVA21000788,,,,,,,,,,,,,,,,,,,,,,,Monthly,590.0712,,,,,,,,,,,,,,,,,,,rps_lng-CVA21000789,,,,
rps_lng-CVA210098,rps_lng-CVA210383,1/12/2021,1/12/2021,11/12/2022,,,,,,rps_lng-CVA21000833,,,,,,,,,,,,,,,,,,,2023-12-01T21:00:00+00:00,,,,Monthly,315.0575,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210099,rps_lng-CVA210384,23/09/2015,23/09/2015,22/09/2016,,,,,,rps_lng-CVA21000834,,,,,,,,,,,,,,,,,,,2023-09-01T15:00:00+01:00,,,,Monthly,325.1836,,,,,,,,,,,,,,,,,,,,,,,
rps_lng-CVA210100,rps_lng-CVA210385,1/06/2018,1/06/2018,9/06/2023,,,,,,rps_lng-CVA21000835,,,,,,,,,,,,,,,,,,,,,,,Monthly,360.1644,,,,,,,,,,,,,,,,,,,,,,,
