property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_[fee id]
rps_lng-HDO140041,rps_lng-RPT130049, Residential_Apartment ,4,120,Hotham Street,,St Kilda East,Vic,3183,1,1,1,,0,,,2023-07-19T13:25:35+01:00,,rntinc,,500.0,Weekly,,,,,
rps_lng-HDO140044,rps_lng-HDO190796, Residential_House ,,15,Bandon Road,,Weir Views,Vic,3338,4,2,2,,0,,,2022-09-05T19:59:38+01:00,,rntinc,,350.0,Weekly,,,,,
rps_lng-HDO150004,rps_lng-RPT180001, Residential_House ,2,3,Pardy Street,,Pascoe Vale,Vic,3044,2,0,0,,0,,,2022-09-05T20:58:56+01:00,,rntinc,,399.9781,Weekly,,,,,
rps_lng-HDO150011,rps_lng-RPT150011, Residential_Townhouse ,19,79-89,Lancefield Drive,,Caroline Springs,Vic,3023,3,2,2,,0,,,2023-07-17T14:21:45+01:00,,rntinc,,500.0877,Monthly,,,,,
rps_lng-HDO150017,rps_lng-RPT150011, Residential_Apartment ,9,14-16,Maroona Road,,Carnegie,Vic,3163,2,2,1,,0,,,2022-06-02T15:01:05+01:00,,rntinc,,500.0002,Monthly,,,,,
rps_lng-HDO150022,rps_lng-RPT140026, Residential_House ,,30,Prominence Boulevard,,Tarneit,Vic,3029,3,2,2,,0,,,2023-03-10T14:16:42+00:00,,rntinc,,395.1452,Weekly,,,,,
rps_lng-HDO150030,rps_lng-RPT150029, Residential_House ,,15,Attunga Grove,,Werribee,Vic,3030,3,2,1,,0,,,2023-06-06T14:20:18+01:00,,rntinc,,375.1233,Weekly,,,,,
rps_lng-HDO150038,rps_lng-RPT150037, Residential_House ,,23,Borboleta Street,,Tarneit,Vic,3029,4,2,2,,0,,,2023-04-12T19:46:02+01:00,,rntinc,,389.85,Weekly,,,,,
rps_lng-HDO150046,rps_lng-RPT150045, Residential_House ,1,1A,Teague Avenue,,Brunswick West,Vic,3055,2,0,0,,0,,,2023-04-06T10:58:57+01:00,,rntinc,,500.0877,Monthly,,,,,
rps_lng-HDO150053,rps_lng-RPT150052, Residential_House ,,5,Crystal Road,,Melton South,Vic,3338,4,2,1,,0,,,2022-10-03T17:35:34+01:00,,rntinc,,335.0795,Weekly,,,,,
rps_lng-HDO150063,rps_lng-RPT120069, Residential_House ,,242,Union Street,,Brunswick West,Vic,3055,2,0,0,,0,2019-04-09T09:08:53+01:00,,2023-01-16T14:20:02+00:00,,rntinc,,600.0,Weekly,,,,,
rps_lng-HDO160004,rps_lng-RPT180001, Residential_House ,3,11,Troward Harvey Way,,Craigieburn,Vic,3064,2,2,1,,0,2020-07-22T21:14:28+01:00,,2023-01-30T12:10:18+00:00,,rntinc,,335.0795,Monthly,,,,,
rps_lng-HDO160007,rps_lng-RPT140017, Residential_Apartment ,10,2,Monckton Place,,Caroline Springs,Vic,3023,2,1,1,,0,,,2023-07-17T10:23:20+01:00,,rntinc,,394.9151,Monthly,,,,,
rps_lng-HDO160020,rps_lng-RPT140026, Residential_House ,,29,Heddle Parade,,Mernda,Vic,3754,4,0,0,,0,,,2023-03-10T14:12:41+00:00,,rntinc,,449.9178,Weekly,,,,,
rps_lng-HDO160024,rps_lng-RPT160024, Residential_House ,,16,Kurrali Crescent,,Werribee,Vic,3030,3,2,1,,0,,,2022-10-31T12:36:32+00:00,,rntinc,,320.0009,Monthly,,,,,
