tenancy_id,property_id,original_lease_start,lease_start,lease_end,vacate_type,notice_sent_received,termination_date,moving_out,charge_to,contact_1_id,contact_[n]_auto_email_receipts,contact_[n]_auto_email_invoices,contact_[n]_enotices_no_consent,contact_[n]_dont_send_marketing,contact_[n]_type,contact_[n]_account_name,contact_[n]_account_bsb,contact_[n]_account_no,direct_debit_invoices,direct_debit_rent,direct_debit_contact_id,direct_debit_max_amount,direct_debit_schedule_description,direct_debit_schedule_period,direct_debit_schedule_amount,direct_debit_schedule_start,direct_debit_schedule_end,last_rent_review,next_rent_review,rent_account,rent_description,rent_start,rent_period,rent_amount,new_rent_start,new_rent_period,new_rent_amount,rent_paid_to,rent_credit,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,outgoings_[n]_paid_to,outgoings_[n]_credit,new_outgoings_[n]_amount,bond_[n]_required,bond_[n]_account,bond_[n]_reference,bond_[n]_lodged_direct,held_for_tenancy,tag_[group name],fee_[fee id],contact_2_id,contact_3_id,contact_4_id
rps_lng-HDO230253,rps_lng-HDO210405,2023-03-06,2023-03-06,2024-03-05,,,,,,rps_lng-HDO23000744,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,373.97,,,,,,,,,,,,,,,,,,,rps_lng-HDO23000743,,
rps_lng-HDO220011,rps_lng-HDO210408,2023-01-12,2023-01-12,2024-01-11,,,,,,rps_lng-HDO22000026,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,359.93,,,,11/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000027,,
rps_lng-HDO220113,rps_lng-HDO210413,2023-02-04,2023-02-04,2024-02-03,,,,,,rps_lng-HDO22000245,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,700.08,,,,03/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000246,,
rps_lng-HDO220441,rps_lng-HDO210436,2023-03-31,2023-03-31,2024-03-30,,,,,,rps_lng-HDO22000892,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,440.02,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000891,,
rps_lng-HDO211648,rps_lng-HDO210442,2022-12-21,2022-12-21,2023-12-20,,,,,,rps_lng-HDO21003540,,,,,,,,,,,,,,,,,,,2023-11-01T11:00:00+00:00,100005,,,Monthly,300.1,,,,20/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO230022,rps_lng-HDO210452,2023-01-12,2023-01-12,2024-01-11,,,,,,rps_lng-HDO23000048,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,750.02,,,,11/09/2023,0.0,,,,,,,,,,,,,,,,
rps_lng-HDO220256,rps_lng-HDO210459,2023-03-25,2023-03-25,2024-03-24,,,,,,rps_lng-HDO22000513,,,,,,,,,,,,,,,,,,,2024-01-08T14:00:00+00:00,100005,,,Monthly,425.06,,,,24/08/2023,56.0,,,,,,,,,,,,,,rps_lng-HDO22000512,,
rps_lng-HDO211669,rps_lng-HDO210467,2023-03-14,2023-03-14,2024-02-13,,,,,,rps_lng-HDO21003583,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,480.07,,,,13/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO21003582,,
rps_lng-HDO220060,rps_lng-HDO210486,2022-02-03,2022-02-03,2023-02-02,,,,,,rps_lng-HDO22000129,,,,,,,,,,,,,,,,,,,2023-11-08T14:00:00+00:00,100005,,,Monthly,430.13,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000128,,
rps_lng-HDO221236,rps_lng-HDO210498,2022-09-03,2022-09-03,2023-09-02,,,,,,rps_lng-HDO22002799,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,399.98,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002800,,
rps_lng-HDO220204,rps_lng-HDO210501,2023-04-17,2023-04-17,2024-02-16,,,,,,rps_lng-HDO22000408,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,434.96,,,,16/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000407,,
rps_lng-HDO221284,rps_lng-HDO210526,2022-10-01,2022-10-01,2023-09-30,,,,,,rps_lng-HDO22002917,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,500.09,,,,,,,,,,,,,,,,,,,rps_lng-HDO22002915,rps_lng-HDO22002916,
rps_lng-HDO220100,rps_lng-HDO210536,2023-01-24,2023-01-24,2024-01-23,,,,,,rps_lng-HDO22000210,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,440.02,,,,23/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000211,rps_lng-HDO22000209,
rps_lng-HDO220077,rps_lng-HDO220008,2023-02-03,2023-02-03,2024-02-02,,,,,,rps_lng-HDO22000170,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,465.11,,,,02/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22000171,,
rps_lng-HDO220264,rps_lng-HDO220041,2023-03-26,2023-03-26,2024-03-25,,,,,,rps_lng-HDO22000536,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,359.93,,,,,,,,,,,,,,,,,,,rps_lng-HDO22000535,,
rps_lng-HDO220529,rps_lng-HDO220056,2022-04-21,2022-04-21,2023-04-20,,,,,,rps_lng-HDO22001060,,,,,,,,,,,,,,,,,,,2023-12-01T16:00:00+00:00,100005,,,Monthly,299.87,,,,,,,,,,,,,,,,,,,,,
rps_lng-SAN220057,rps_lng-HDO220112,2021-11-01,2021-11-01,2022-10-31,,,,,,rps_lng-SAN22000177,,,,,,,,,,,,,,,,,,,2023-11-22T14:00:00+00:00,100005,,,Monthly,475.0,,,,,,,,,,,,,,,,,,,,,
rps_lng-HDO221063,rps_lng-HDO220131,2023-08-01,2023-08-01,2024-07-31,,,,,,rps_lng-HDO22002306,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,399.98,,,,31/08/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22002305,,
rps_lng-HDO220585,rps_lng-HDO220143,2023-06-09,2023-06-09,2024-06-08,,,,,,rps_lng-HDO22004022,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,449.92,,,,08/09/2023,0.0,,,,,,,,,,,,,,rps_lng-HDO22004023,,
rps_lng-HDO230332,rps_lng-HDO220146,2023-03-14,2023-03-14,2024-09-13,,,,,,rps_lng-HDO23001014,,,,,,,,,,,,,,,,,,,,100005,,,Monthly,559.92,,,,,,,,,,,,,,,,,,,rps_lng-HDO23001013,,
