property_id,ownership_id,property_type,unit,street_no,street_1,street_2,suburb,state,postcode,bedrooms,bathrooms,car_spaces,lot_no,area,authority_start,authority_end,gained,gained_reason,rent_account,rent_description,rent_amount,rent_period,outgoings_[n]_account,outgoings_[n]_description,outgoings_[n]_amount,tag_[group name],fee_1,fee_2,fee_3,fee_4,fee_5,fee_6,fee_7,Property Manager
rps_lng-HDO120074,rps_lng-RPT120074, Residential_  ,,3,Crathe Close,,Roxburgh Park,Vic,3064,4,2,2,,0,1999-01-01,,2023-01-31T09:48:02+00:00,,100005,,434.96,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120111,rps_lng-RPT120110, Residential_  ,,11,Bandon Road,,Weir Views,Vic,3338,4,2,2,,0,1999-01-01,,2023-04-14T13:04:53+01:00,,100005,,360.0,Weekly,,,,,6.6,2.2,,,,,,Kasey Neuendorf
rps_lng-HDO120207,rps_lng-RPT120323, Residential_  ,102,42-44,Harrison Street,,Brunswick East,Vic,3057,2,1,1,,0,1999-01-01,,2023-04-17T08:45:05+01:00,,100005,,390.08,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120330,rps_lng-RPT120349, Residential_  ,103,42-44,Harrison Street,,Brunswick East,Vic,3057,2,1,1,,0,1999-01-01,,2023-04-05T10:54:40+01:00,,100005,,394.92,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO120453,rps_lng-RPT120440, Residential_  ,B207,460,Victoria Street,,Brunswick,Vic,3056,2,1,1,,0,1999-01-01,,2023-04-05T10:53:39+01:00,,100005,,520.11,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO130025,rps_lng-RPT130025, Residential_  ,,16,Cavell Drive,,Craigieburn,Vic,3064,3,2,2,,0,1999-01-01,,2023-06-30T10:51:16+01:00,,100005,,420.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO130049,rps_lng-RPT130049, Residential_  ,2,250,Pascoe Vale Road,,Essendon,Vic,3040,2,2,1,,0,1999-01-01,,2023-01-09T15:14:11+00:00,,100005,,490.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO130078,rps_lng-RPT130078, Residential_  ,,39,Grattan Cove,,Craigieburn,Vic,3064,3,0,0,,0,1999-01-01,,2023-08-01T14:23:41+01:00,,100005,,390.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO130248,rps_lng-RPT130252, Residential_  ,106,175,Kangaroo Road,,Hughesdale,Vic,3166,1,1,1,,0,1999-01-01,,2023-01-09T15:14:11+00:00,,100005,,335.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO140009,rps_lng-RPT140009, Residential_  ,,24,O'Loghlen Drive,,Wyndham Vale,Vic,3024,4,0,0,,0,1999-01-01,,2022-12-08T11:16:30+00:00,,100005,,349.81,Monthly,,,,,7.7,3.3,,,,,25.0,Kasey Neuendorf
rps_lng-HDO140026,rps_lng-RPT140026, Residential_  ,,4,Lakshmi Street,,Epping,Vic,3076,4,0,0,,0,1999-01-01,,2023-03-10T14:11:40+00:00,,100005,,465.11,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO140041,rps_lng-RPT130049, Residential_  ,4,120,Hotham Street,,St Kilda East,Vic,3183,1,1,1,,0,1999-01-01,,2023-08-17T15:05:43+01:00,,100005,,480.07,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO140044,rps_lng-HDO190796, Residential_  ,,15,Bandon Road,,Weir Views,Vic,3338,4,2,2,,0,1999-01-01,,2022-09-05T19:59:38+01:00,,100005,,350.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150004,rps_lng-RPT180001, Residential_  ,2,3,Pardy Street,,Pascoe Vale,Vic,3044,2,0,0,,0,1999-01-01,,2022-09-05T20:58:56+01:00,,100005,,399.98,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150011,rps_lng-RPT150011, Residential_  ,19,79-89,Lancefield Drive,,Caroline Springs,Vic,3023,3,2,2,,0,1999-01-01,,2023-07-17T14:21:45+01:00,,100005,,500.09,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150017,rps_lng-RPT150011, Residential_  ,9,14-16,Maroona Road,,Carnegie,Vic,3163,2,2,1,,0,1999-01-01,,2022-06-02T15:01:05+01:00,,100005,,500.0,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150022,rps_lng-RPT140026, Residential_  ,,30,Prominence Boulevard,,Tarneit,Vic,3029,3,2,2,,0,1999-01-01,,2023-03-10T14:16:42+00:00,,100005,,395.15,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150030,rps_lng-RPT150029, Residential_  ,,15,Attunga Grove,,Werribee,Vic,3030,3,2,1,,0,1999-01-01,,2023-06-06T14:20:18+01:00,,100005,,375.12,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150038,rps_lng-RPT150037, Residential_  ,,23,Borboleta Street,,Tarneit,Vic,3029,4,2,2,,0,1999-01-01,,2023-04-12T19:46:02+01:00,,100005,,389.85,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150046,rps_lng-RPT150045, Residential_  ,1,1A,Teague Avenue,,Brunswick West,Vic,3055,2,0,0,,0,1999-01-01,,2023-04-06T10:58:57+01:00,,100005,,500.09,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150053,rps_lng-RPT150052, Residential_  ,,5,Crystal Road,,Melton South,Vic,3338,4,2,1,,0,1999-01-01,,2022-10-03T17:35:34+01:00,,100005,,335.08,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150063,rps_lng-RPT120069, Residential_  ,,242,Union Street,,Brunswick West,Vic,3055,2,0,0,,0,1999-01-01,,2023-01-16T14:20:02+00:00,,100005,,600.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO150122,rps_lng-RPT150120, Residential_  ,,52,Millswyn Street,,South Yarra,Vic,3141,3,3,1,,0,1999-01-01,,2023-01-31T11:39:28+00:00,,100005,,2000.0,Weekly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO160004,rps_lng-RPT180001, Residential_  ,3,11,Troward Harvey Way,,Craigieburn,Vic,3064,2,2,1,,0,1999-01-01,,2023-01-30T12:10:18+00:00,,100005,,335.08,Monthly,,,,,,,,,,,,Kasey Neuendorf
rps_lng-HDO160020,rps_lng-RPT140026, Residential_  ,,29,Heddle Parade,,Mernda,Vic,3754,4,0,0,,0,1999-01-01,,2023-03-10T14:12:41+00:00,,100005,,449.92,Weekly,,,,,,,,,,,,Kasey Neuendorf
